ubigeo,distrito,departamen,poblacion,ipress_per_10k,atenciones_per_10k,dist_mediana_km,pct_ccpp_10km,indice_baseline,quintil_baseline,etiqueta_baseline,indice_alternativo,quintil_alternativo,etiqueta_alternativo,cambio_quintil,cambio_abs
021204,HUAYLAS,ANCASH,1421.0,7.0373,0.0,18.19,0.0,0.4499,3,Medium,0.3705,2,Low,-1.0,1.0
210210,SAMAN,PUNO,14541.0,4.814,0.0,22.045,0.0,0.3669,2,Low,0.3101,1,Very low,-1.0,1.0
040801,COTAHUASI,AREQUIPA,2923.0,6.8423,4765.6517,97.888,0.0,0.4763,3,Medium,0.5495,4,High,1.0,1.0
210704,NICASIO,PUNO,2710.0,7.3801,0.0,17.774,0.0,0.4609,3,Medium,0.3789,2,Low,-1.0,1.0
040810,TOMEPAMPA,AREQUIPA,813.0,12.3001,0.0,103.529,0.0,0.3791,2,Low,0.4531,3,Medium,1.0,1.0
040803,CHARCANA,AREQUIPA,536.0,37.3134,0.0,81.092,0.0,0.464,3,Medium,0.5338,4,High,1.0,1.0
210606,ROSASPATA,PUNO,5326.0,9.3879,0.0,25.246,0.0,0.4522,3,Medium,0.4132,2,Low,-1.0,1.0
080802,CONDOROMA,CUSCO,1431.0,6.9881,0.0,60.712,0.0,0.3121,1,Very low,0.3693,2,Low,1.0,1.0
160507,SAQUENA,LORETO,5025.0,7.9602,0.0,101.367,0.0,0.3157,1,Very low,0.3894,2,Low,1.0,1.0
150723,SAN MATEO DE OTAO,LIMA,1599.0,25.0156,0.0,17.043,0.0,0.608,4,High,0.5213,3,Medium,-1.0,1.0
101101,CHAVINILLO,HUANUCO,5943.0,8.4133,0.0,20.551,0.0,0.4643,3,Medium,0.3988,2,Low,-1.0,1.0
030303,HUAQUIRCA,APURIMAC,1568.0,31.8878,0.0,73.255,0.0,0.4653,3,Medium,0.5311,4,High,1.0,1.0
250203,TAHUANIA,UCAYALI,8284.0,7.2429,0.0,93.734,0.0,0.3031,1,Very low,0.3758,2,Low,1.0,1.0
061112,TONGOD,CAJAMARCA,4900.0,6.1224,0.0,25.035,0.0,0.3858,2,Low,0.3456,1,Very low,-1.0,1.0
010516,SAN CRISTOBAL,AMAZONAS,685.0,14.5985,0.0,16.951,0.0,0.563,4,High,0.4755,3,Medium,-1.0,1.0
010117,QUINJALCA,AMAZONAS,830.0,24.0964,0.0,27.022,0.0,0.55,4,High,0.5181,3,Medium,-1.0,1.0
010304,COROSHA,AMAZONAS,1046.0,9.5602,0.0,22.614,0.0,0.4721,3,Medium,0.418,2,Low,-1.0,1.0
010511,MARIA,AMAZONAS,945.0,10.582,0.0,28.878,0.0,0.4572,3,Medium,0.4337,2,Low,-1.0,1.0
220903,CACATACHI,SAN MARTIN,3466.0,2.8852,0.0,5.588,100.0,0.4471,2,Low,0.4811,3,Medium,1.0,1.0
080604,MARANGANI,CUSCO,11287.0,3.5439,0.0,19.646,12.5,0.3477,1,Very low,0.3768,2,Low,1.0,1.0
030703,GAMARRA,APURIMAC,3890.0,25.7069,0.0,38.579,0.0,0.5126,3,Medium,0.5227,4,High,1.0,1.0
030214,SAN MIGUEL DE CHACCRAMPA,APURIMAC,2080.0,19.2308,0.0,16.822,0.0,0.5933,4,High,0.5046,3,Medium,-1.0,1.0
030218,TURPO,APURIMAC,4152.0,19.2678,0.0,17.918,0.0,0.5864,4,High,0.5049,3,Medium,-1.0,1.0
100904,TOURNAVISTA,HUANUCO,4559.0,8.7739,0.0,66.248,0.0,0.3436,1,Very low,0.4047,2,Low,1.0,1.0
151004,AYAVIRI,LIMA,675.0,14.8148,0.0,63.578,0.0,0.4183,2,Low,0.4773,3,Medium,1.0,1.0
150718,SAN DAMIAN,LIMA,1137.0,17.5901,0.0,16.228,0.0,0.59,4,High,0.4966,3,Medium,-1.0,1.0
120413,LEONOR ORDOÑEZ,JUNIN,1480.0,6.7568,0.0,12.138,0.0,0.4887,3,Medium,0.3639,2,Low,-1.0,1.0
120124,PARIAHUANCA,JUNIN,5767.0,17.34,0.0,10.296,47.83,0.6345,4,High,0.6346,5,Very high,1.0,1.0
170201,MANU,MADRE DE DIOS,3321.0,21.078,0.0,105.933,0.0,0.4354,2,Low,0.5101,3,Medium,1.0,1.0
120407,EL MANTARO,JUNIN,2562.0,3.9032,0.0,12.358,0.0,0.4062,2,Low,0.284,1,Very low,-1.0,1.0
120708,SAN PEDRO DE CAJAS,JUNIN,5669.0,12.3479,0.0,21.366,0.99,0.5147,3,Medium,0.5373,4,High,1.0,1.0
120704,HUASAHUASI,JUNIN,15398.0,4.546,689.0505,6.488,74.83,0.637,5,Very high,0.6238,4,High,-1.0,1.0
150507,IMPERIAL,LIMA,41037.0,2.1931,0.0,5.246,100.0,0.4315,2,Low,0.461,3,Medium,1.0,1.0
151005,AZANGARO,LIMA,519.0,19.2678,0.0,22.364,0.0,0.56,4,High,0.5049,3,Medium,-1.0,1.0
151025,QUINOCAY,LIMA,530.0,37.7358,0.0,53.753,0.0,0.4854,3,Medium,0.534,4,High,1.0,1.0
150726,SANGALLAYA,LIMA,569.0,70.2988,0.0,42.854,0.0,0.518,3,Medium,0.5404,4,High,1.0,1.0
151002,ALIS,LIMA,1233.0,16.2206,0.0,53.802,0.0,0.4401,2,Low,0.4888,3,Medium,1.0,1.0
120113,CULLHUAS,JUNIN,2204.0,18.1488,0.0,10.742,36.67,0.6349,5,Very high,0.6288,4,High,-1.0,1.0
211203,LIMBANI,PUNO,4422.0,6.7843,0.0,41.976,0.0,0.3452,1,Very low,0.365,2,Low,1.0,1.0
